Referencia;Nome;Categoria;Preco;Imagem;Preco Final;Id Categoria;Ativo
P6509;Correia 815x19 DAYCO POWER PLUS / Kymco, Keeway, Aprilia, Malaguti;  Correias ;32,48;https://motoxpert.pt/web/image/product.template/9205/image?unique=d0c8a04;39,9504;29;1
P6648;Correia (1011x27.7), MITSUBOSHI, SUZUKI AN Burgman 400 (07-) Maxi scooters;  Correias ;129,27;https://motoxpert.pt/web/image/product.template/9138/image?unique=d0c8a04;159,0021;29;1
P6728;Correia CVT ( 818x19.7x28 ), LINHAI VOG 260-300 ATV / M3072001 NECO (GPX 125) / LJ1P52QMI;  Correias ;40,61;https://motoxpert.pt/web/image/product.template/9065/image?unique=ae65bf9;49,9503;29;1
P7023;Correia POLINI Maxi Belt (922x22.5x30), Honda SH, Keeway Outlook 125/150 ;  Correias ;39,02;https://motoxpert.pt/web/image/product.template/9967/image?unique=d0c8a04;47,9946;29;1
14003LMB0000;Correia LAMBRETTA (V125);  Correias ;40,61;https://motoxpert.pt/web/image/product.template/9948/image?unique=1cf2ccb;49,9503;29;1
P7061;Correia 799x19x28, KYMCO, KEEWAY, APRILIA, MALAGUTI;  Correias ;32,93;https://motoxpert.pt/web/image/product.template/9880/image?unique=d0c8a04;40,5039;29;1
P141;Roletes (23x18 / 23g), TBM GTS250 172MM;  Roletes ;0;https://motoxpert.pt/web/image/product.template/4575/image?unique=b04fb8e;0;30;1
P265;Pinhao de Ataque T8F / 11 Dentes  (p/ cx transm/desmultipl.), GAZELLE MD05-XM / MINIMOTO 49;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/4550/image?unique=d0c8a04;9,9507;30;1
P.22.0182;Pinhao de ataque 520H (12D), MIKILON 125;  Roletes ;8,13;https://motoxpert.pt/web/image/product.template/3559/image?unique=d0c8a04;9,9999;30;1
P.22.0171;Pinhao de Ataque simples (20 Dentes / T8F - Passo grosso), TROTINETE;  Roletes ;8,13;https://motoxpert.pt/web/image/product.template/3253/image?unique=168d983;9,9999;30;1
P.22.0170;Pinhao de Ataque simples (17 Dentes / T8F - Passo grosso), TROTINETE;  Roletes ;8,13;https://motoxpert.pt/web/image/product.template/3252/image?unique=d0c8a04;9,9999;30;1
P.16.0069.0047;Roletes (30x19) 25gr, CF188   ;  Roletes ;26,02;https://motoxpert.pt/web/image/product.template/2614/image?unique=7e0d998;32,0046;30;1
P.16.0069.0058;Roletes (15x12) 6g, JOG 50 2 Tempos, 1E40QMB;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/2613/image?unique=5a3aec7;9,9507;30;1
